order,seasonal_order,mape,mae,rmse,aic,bic
"(0, 1, 1)","(0, 1, 1, 12)",22.369608777229136,16405.483662909566,19862.806610985066,1336.9246252976016,1342.8915774372945
"(0, 1, 1)","(1, 0, 0, 12)",37.152367965422464,29560.155876864068,31194.988651874628,1674.2986636784656,1680.957186793994
"(0, 1, 1)","(1, 0, 1, 12)",27.751874530368013,21849.667091463296,23390.25371930986,1625.9887208323237,1634.7473398004295
"(0, 1, 1)","(1, 1, 0, 12)",24.463293702881415,20370.027893735736,24865.420682286847,1383.5919627207977,1389.6680177930032
"(0, 1, 1)","(1, 1, 1, 12)",93.04721427319022,69141.0501710467,77052.59562971044,1334.722842655494,1342.6787788417512
"(0, 1, 1)","(2, 0, 0, 12)",18.900607972283936,14183.84161416569,16548.875944633714,1384.3126104685155,1392.414017231456
"(0, 1, 1)","(2, 0, 1, 12)",69.44720794810756,49163.77452600431,55284.51206490371,1384.1425718794867,1394.2693303331625
"(0, 1, 1)","(2, 1, 0, 12)",27.96438430508707,25503.456224621623,36446.30253368451,1096.6005280041047,1103.7372865397779
"(0, 1, 1)","(2, 1, 1, 12)",105.08416514333447,76299.81758099126,83471.63173986184,1095.088129408423,1104.0090775780143
"(0, 1, 2)","(0, 0, 0, 12)",52.29400483017022,39751.184447841224,43161.186941082095,1916.8332807349088,1923.86469700047
"(0, 1, 2)","(0, 0, 1, 12)",23.54355262860237,24172.868105179496,39587.049987426326,1608.0737590759434,1616.771308155526
"(0, 1, 2)","(0, 1, 0, 12)",52.39857856006221,38160.69435132276,40480.54027335994,1604.2804653283517,1610.8036271380386
"(0, 1, 2)","(0, 1, 1, 12)",20.12017255686622,15078.379198591354,18251.513415841182,1313.8901482658966,1321.771315920105
"(0, 1, 2)","(1, 0, 0, 12)",33.51403617513603,26823.930481214407,28625.525130055557,1676.1354307766117,1685.013461597316
"(0, 1, 2)","(1, 0, 1, 12)",23.81339638406579,18997.67861492953,20821.998765831897,1603.3696652152305,1614.2416015647086
"(0, 1, 2)","(1, 1, 0, 12)",22.6541204983339,19276.73852194674,24042.055127517884,1384.7804857664034,1392.881892529344
"(0, 1, 2)","(1, 1, 1, 12)",76.18601218991222,58038.49888180654,65598.63530996461,1313.0279319349463,1322.879391502707
"(0, 1, 2)","(2, 0, 0, 12)",15.610317918563018,11924.52380632687,14503.17507949755,1386.1236921709678,1396.2504506246437
"(0, 1, 2)","(2, 0, 1, 12)",59.90011869127544,42683.598143203264,48120.759977201196,1386.72572112744,1398.877831271851
"(0, 1, 2)","(2, 1, 0, 12)",24.51383666242845,22819.303390264817,33303.99690890564,1097.8872415137193,1106.8081896833107
