order,seasonal_order,mape,mae,rmse,aic,bic
"(2, 1, 1)","(1, 0, 1, 12)",35.33286345348569,27528.75154072198,28831.98980008044,1629.8261088838212,1642.9640373359798
"(2, 1, 1)","(1, 1, 0, 12)",34.053560362293,26383.753490004747,29995.278274193166,1340.8378289163995,1350.782749149221
"(2, 1, 1)","(1, 1, 1, 12)",69.73838020125505,53043.8379289091,59202.94813691179,1343.0627553660288,1354.9966596454144
"(2, 1, 1)","(2, 0, 0, 12)",26.25438007562011,19723.58341426876,21471.64723746095,1340.2269705890235,1352.160874868409
"(2, 1, 1)","(2, 0, 1, 12)",41.78423598900679,30452.619594620362,34836.40878974768,1338.841177279452,1352.764065605402
"(2, 1, 1)","(2, 1, 0, 12)",38.08728574886111,30595.185215721114,36051.647130424855,1053.6751687166477,1064.101186426348
"(2, 1, 1)","(2, 1, 1, 12)",27.238506632696552,26087.883413070867,39315.51845177987,1047.5995359794572,1059.7632233074407
"(2, 1, 2)","(0, 0, 0, 12)",52.60342551317675,39794.804574297006,43802.315899819696,1916.5802973114048,1928.2993244206732
"(2, 1, 2)","(0, 0, 1, 12)",23.575558216371284,21354.751969130648,33945.93692835314,1607.068078762575,1620.1144023819488
"(2, 1, 2)","(0, 1, 0, 12)",47.35432855111664,34589.68999533285,36950.49703329755,1604.791859832074,1615.663796181552
"(2, 1, 2)","(0, 1, 1, 12)",15.662094684882671,12176.0465559776,15746.963393784408,1314.2818711350355,1326.1036226163483
"(2, 1, 2)","(1, 0, 0, 12)",21.211166842656947,18102.55781808437,21283.91647807627,1628.4903505418292,1641.6282789939878
"(2, 1, 2)","(1, 0, 1, 12)",16.57611813542847,13657.496930804315,16171.866492237128,1605.4801728148152,1620.7008837040846
"(2, 1, 2)","(1, 1, 0, 12)",17.22128926590135,15951.798857273221,22586.693492841256,1337.5227485225685,1349.456652801954
"(2, 1, 2)","(1, 1, 1, 12)",41.36988090358821,35277.28813428574,46047.715076284934,1314.3228289822482,1328.114872377113
"(2, 1, 2)","(2, 0, 0, 12)",8.98834831837415,6783.927600073267,8655.466147951534,1339.7840155630752,1353.7069038890252
"(2, 1, 2)","(2, 0, 1, 12)",13.46033481300036,12556.531424686314,17705.302641628594,1341.1322256968224,1357.0440980693365
"(2, 1, 2)","(2, 1, 0, 12)",30.441817960391038,27069.872449142335,38606.90739419349,1049.4975149565048,1061.6612022844884
"(2, 1, 2)","(2, 1, 1, 12)",23.573127434583522,23487.315153703446,37545.026063214274,1048.906361436367,1062.807718382634
